"beta","t0","t1","o","mu2_star","a0_1","a1","no_cheap_H_margin","candidate_pattern","any_H_prefers_U","interior_Delta_crossing","mu_share_H_prefers_U","max_V_W_U","min_entry_gap_M_minus_U"
0.8,0.1,0.24,0,0.155555555555556,0.212,0.24,0.0333333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0656666666666667,0.0176666666666667
0.85,0.1,0.24,0,0.155555555555556,0.219,0.24,0.0291666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0650833333333333,0.01825
0.9,0.1,0.24,0,0.155555555555556,0.226,0.24,0.025,"delay_plus_pooling",TRUE,FALSE,0.937062937062937,0.0675,0.0158333333333333
0.45,0.15,0.29,0,0.164705882352941,0.213,0.29,0.1125,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0655833333333333,0.01775
0.5,0.15,0.29,0,0.164705882352941,0.22,0.29,0.108333333333333,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.065,0.0183333333333333
0.55,0.15,0.29,0,0.164705882352941,0.227,0.29,0.104166666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0644166666666667,0.0189166666666667
0.6,0.15,0.29,0,0.164705882352941,0.234,0.29,0.1,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0638333333333333,0.0195
0.65,0.15,0.29,0,0.164705882352941,0.241,0.29,0.0958333333333334,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.06325,0.0200833333333333
0.7,0.15,0.29,0,0.164705882352941,0.248,0.29,0.0916666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0626666666666667,0.0206666666666667
0.75,0.15,0.29,0,0.164705882352941,0.255,0.29,0.0875,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0620833333333333,0.02125
0.8,0.15,0.29,0,0.164705882352941,0.262,0.29,0.0833333333333334,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0615,0.0218333333333333
0.85,0.15,0.29,0,0.164705882352941,0.269,0.29,0.0791666666666667,"low_only_plus_pooling",TRUE,FALSE,0.999000999000999,0.0609166666666667,0.0224166666666667
0.9,0.15,0.29,0,0.164705882352941,0.276,0.29,0.075,"delay_plus_pooling",TRUE,FALSE,0.927072927072927,0.06375,0.0195833333333333
