"o","branch","gap"
0.554939827160494,"H excluded; majority agreement",-0.000498739999999992
0.555942885802469,"H excluded; majority agreement",0.000313737500000022
0.556945944444444,"H excluded; majority agreement",0.00112621499999999
0.55794900308642,"H excluded; majority agreement",0.00193869250000005
0.558952061728395,"H excluded; majority agreement",0.00275117000000001
0.55995512037037,"H excluded; majority agreement",0.00356364749999998
0.560958179012346,"H excluded; majority agreement",0.00437612500000004
0.561961237654321,"H excluded; majority agreement",0.00518860250000011
0.562964296296296,"H excluded; majority agreement",0.00600107999999997
0.563967354938272,"H excluded; majority agreement",0.00681355749999993
0.564970413580247,"H excluded; majority agreement",0.007626035
0.565973472222222,"H excluded; majority agreement",0.00843851250000006
0.566976530864198,"H excluded; majority agreement",0.00925099000000003
0.567979589506173,"H excluded; majority agreement",0.0100634675
0.568982648148148,"H excluded; majority agreement",0.0108759450000001
0.569985706790124,"H excluded; majority agreement",0.0116884225
0.570988765432099,"H excluded; majority agreement",0.0125009000000001
0.571991824074074,"H excluded; majority agreement",0.0133133775
0.572994882716049,"H excluded; majority agreement",0.014125855
0.573997941358025,"H excluded; majority agreement",0.0149383325000001
0.575001,"H excluded; majority agreement",0.0157508100000001
0.576004058641975,"H excluded; majority agreement",0.0165632875
0.577007117283951,"H excluded; majority agreement",0.017375765
0.578010175925926,"H excluded; majority agreement",0.0181882425
0.579013234567901,"H excluded; majority agreement",0.0190007200000001
0.580016293209877,"H excluded; majority agreement",0.0198131975000001
0.581019351851852,"H excluded; majority agreement",0.020625675
0.582022410493827,"H excluded; majority agreement",0.0214381525000001
0.583025469135803,"H excluded; majority agreement",0.02225063
0.584028527777778,"H excluded; majority agreement",0.0230631075
0.585031586419753,"H excluded; majority agreement",0.023875585
0.586034645061728,"H excluded; majority agreement",0.0246880625
0.587037703703704,"H excluded; majority agreement",0.0255005400000001
0.588040762345679,"H excluded; majority agreement",0.0263130175000001
0.589043820987654,"H excluded; majority agreement",0.027125495
0.59004687962963,"H excluded; majority agreement",0.0279379725
0.591049938271605,"H excluded; majority agreement",0.0287504500000001
0.59205299691358,"H excluded; majority agreement",0.0295629275
0.593056055555556,"H excluded; majority agreement",0.030375405
0.594059114197531,"H excluded; majority agreement",0.0311878825
0.595062172839506,"H excluded; majority agreement",0.0320003600000001
0.596065231481481,"H excluded; majority agreement",0.0328128375
0.597068290123457,"H excluded; majority agreement",0.033625315
0.598071348765432,"H excluded; majority agreement",0.0344377925
0.599074407407407,"H excluded; majority agreement",0.0352502700000001
